Fighter,Elo,Opponent,Change
Jon Jones,1125.0,Andre Gusmao,125.0
Jon Jones,1307.01,Stephan Bonnar,182.01
Jon Jones,1420.14,Jake O'Brien,113.13
Jon Jones,1239.49,Matt Hamill,-180.65
Jon Jones,1487.04,Brandon Vera,247.55
Jon Jones,1700.19,Vladimir Matyushenko,213.15
Jon Jones,1827.22,Ryan Bader,127.03
Jon Jones,1923.69,Mauricio Rua,96.47
Jon Jones,2034.8,Quinton Jackson,111.11
Jon Jones,2147.39,Lyoto Machida,112.59
Jon Jones,2264.45,Rashad Evans,117.06
Jon Jones,2359.08,Vitor Belfort,94.63
Jon Jones,2510.57,Chael Sonnen,151.49
Jon Jones,2547.47,Alexander Gustafsson,36.9
Jon Jones,2582.45,Glover Teixeira,34.98
Jon Jones,2613.29,Daniel Cormier,30.84
Jon Jones,2644.52,Ovince Saint Preux,31.23
Jon Jones,2696.73,Alexander Gustafsson,52.21
Jon Jones,2727.69,Anthony Smith,30.96
Jon Jones,2758.49,Thiago Santos,30.8
Jon Jones,2791.5,Dominick Reyes,33.01
Jon Jones,2944.73,Ciryl Gane,153.23
Francis Ngannou,1150.0,Luis Henrique,150.0
Francis Ngannou,1269.49,Curtis Blaydes,119.49
Francis Ngannou,1445.72,Bojan Mihajlovic,176.23
Francis Ngannou,1607.23,Anthony Hamilton,161.51
Francis Ngannou,1861.16,Andrei Arlovski,253.93
Francis Ngannou,2117.33,Alistair Overeem,256.17
Francis Ngannou,2082.03,Stipe Miocic,-35.3
Francis Ngannou,1904.36,Derrick Lewis,-177.67
Francis Ngannou,2071.18,Curtis Blaydes,166.82
Francis Ngannou,2351.9,Cain Velasquez,280.72
Francis Ngannou,2539.57,Junior Dos Santos,187.67
Francis Ngannou,2690.91,Jairzinho Rozenstruik,151.34
Francis Ngannou,2835.79,Stipe Miocic,144.88
Francis Ngannou,2867.33,Ciryl Gane,31.54
Islam Makhachev,1150.0,Leo Kuntz,150.0
Islam Makhachev,970.46,Adriano Martins,-179.54
Islam Makhachev,1159.52,Chris Wade,189.06
Islam Makhachev,1346.41,Nik Lentz,186.89
Islam Makhachev,1541.23,Gleison Tibau,194.82
Islam Makhachev,1734.02,Kajan Johnson,192.79
Islam Makhachev,1786.18,Arman Tsarukyan,52.16
Islam Makhachev,1853.6,Davi Ramos,67.42
Islam Makhachev,1962.23,Drew Dober,108.63
Islam Makhachev,2009.93,Thiago Moises,47.7
Islam Makhachev,2186.85,Dan Hooker,176.92
Islam Makhachev,2340.52,King Green,153.67
Islam Makhachev,2532.05,Charles Oliveira,191.53
Islam Makhachev,2619.44,Alexander Volkanovski,87.39
Islam Makhachev,2810.24,Alexander Volkanovski,190.8
Islam Makhachev,2849.49,Dustin Poirier,39.25
Georges St-Pierre,1171.37,Karo Parisyan,171.37
Georges St-Pierre,1362.11,Jay Hieron,190.74
Georges St-Pierre,1178.81,Matt Hughes,-183.3
Georges St-Pierre,1268.29,Jason Miller,89.48
Georges St-Pierre,1462.42,Frank Trigg,194.13
Georges St-Pierre,1592.69,Sean Sherk,130.27
Georges St-Pierre,1765.28,BJ Penn,172.59
Georges St-Pierre,1986.97,Matt Hughes,221.69
Georges St-Pierre,1688.62,Matt Serra,-298.35
Georges St-Pierre,1843.97,Josh Koscheck,155.35
Georges St-Pierre,2055.92,Matt Hughes,211.95
Georges St-Pierre,2136.93,Matt Serra,81.01
Georges St-Pierre,2196.82,Jon Fitch,59.89
Georges St-Pierre,2261.28,BJ Penn,64.46
Georges St-Pierre,2325.83,Thiago Alves,64.55
Georges St-Pierre,2362.05,Dan Hardy,36.22
Georges St-Pierre,2404.51,Josh Koscheck,42.46
Georges St-Pierre,2434.65,Jake Shields,30.14
Georges St-Pierre,2467.71,Carlos Condit,33.06
Georges St-Pierre,2498.07,Nick Diaz,30.36
Georges St-Pierre,2574.9,Johny Hendricks,76.83
Georges St-Pierre,2638.55,Michael Bisping,63.65
Khabib Nurmagomedov,1114.16,Kamal Shalorus,114.16
Khabib Nurmagomedov,1310.5,Gleison Tibau,196.34
Khabib Nurmagomedov,1561.18,Thiago Tavares,250.68
Khabib Nurmagomedov,1623.2,Abel Trujillo,62.02
Khabib Nurmagomedov,1674.33,Pat Healy,51.13
Khabib Nurmagomedov,1843.18,Rafael Dos Anjos,168.85
Khabib Nurmagomedov,1919.34,Darrell Horcher,76.16
Khabib Nurmagomedov,2018.87,Michael Johnson,99.53
Khabib Nurmagomedov,2129.66,Edson Barboza,110.79
Khabib Nurmagomedov,2183.16,Al Iaquinta,53.5
Khabib Nurmagomedov,2313.7,Conor McGregor,130.54
Khabib Nurmagomedov,2438.15,Dustin Poirier,124.45
Khabib Nurmagomedov,2538.26,Justin Gaethje,100.11
Royce Gracie,1225.0,Art Jimmerson,225.0
Royce Gracie,1450.0,Ken Shamrock,225.0
Royce Gracie,1675.0,Gerard Gordeau,225.0
Royce Gracie,1828.02,Minoki Ichihara,153.02
Royce Gracie,1990.24,Jason DeLucia,162.22
Royce Gracie,2146.65,Remco Pardoel,156.41
Royce Gracie,2301.35,Patrick Smith,154.7
Royce Gracie,2451.43,Kimo Leopoldo,150.08
Royce Gracie,2601.47,Ron van Clief,150.04
Royce Gracie,2751.62,Keith Hackney,150.15
Royce Gracie,2901.7,Dan Severn,150.08
Royce Gracie,2826.73,Ken Shamrock,-74.97
Royce Gracie,2528.66,Matt Hughes,-298.07
Stipe Miocic,1145.48,Joey Beltran,145.48
Stipe Miocic,1368.94,Philip De Fries,223.46
Stipe Miocic,1459.96,Shane del Rosario,91.02
Stipe Miocic,1347.65,Stefan Struve,-112.31
Stipe Miocic,1539.76,Roy Nelson,192.11
Stipe Miocic,1688.5,Gabriel Gonzaga,148.74
Stipe Miocic,1842.55,Fabio Maldonado,154.05
Stipe Miocic,1792.32,Junior Dos Santos,-50.23
Stipe Miocic,1849.29,Mark Hunt,56.97
Stipe Miocic,2144.66,Andrei Arlovski,295.37
Stipe Miocic,2374.85,Fabricio Werdum,230.19
Stipe Miocic,2532.12,Alistair Overeem,157.27
Stipe Miocic,2691.94,Junior Dos Santos,159.82
Stipe Miocic,2727.24,Francis Ngannou,35.3
Stipe Miocic,2436.24,Daniel Cormier,-291.0
Stipe Miocic,2585.54,Daniel Cormier,149.3
Stipe Miocic,2667.16,Daniel Cormier,81.62
Stipe Miocic,2522.28,Francis Ngannou,-144.88
Belal Muhammad,934.05,Alan Jouban,-65.95
Belal Muhammad,1091.89,Augusto Montano,157.84
Belal Muhammad,925.13,Vicente Luque,-166.76
Belal Muhammad,1105.1,Randy Brown,179.97
Belal Muhammad,1259.58,Jordan Mein,154.48
Belal Muhammad,1430.89,Tim Means,171.31
Belal Muhammad,1492.48,Chance Rencountre,61.59
Belal Muhammad,1328.5,Geoff Neal,-163.98
Belal Muhammad,1451.18,Curtis Millender,122.68
Belal Muhammad,1523.72,Takashi Sato,72.54
Belal Muhammad,1606.89,Lyman Good,83.17
Belal Muhammad,1667.29,Dhiego Lima,60.4
Belal Muhammad,1843.64,Demian Maia,176.35
Belal Muhammad,1981.71,Stephen Thompson,138.07
Belal Muhammad,2154.72,Vicente Luque,173.01
Belal Muhammad,2242.52,Sean Brady,87.8
Belal Muhammad,2361.29,Gilbert Burns,118.77
Belal Muhammad,2504.08,Leon Edwards,142.79
Khamzat Chimaev,1123.52,John Phillips,123.52
Khamzat Chimaev,1322.93,Rhys McKee,199.41
Khamzat Chimaev,1618.4,Li Jingliang,295.47
Khamzat Chimaev,1813.67,Gilbert Burns,195.27
Khamzat Chimaev,2051.07,Kevin Holland,237.4
Khamzat Chimaev,2227.42,Kamaru Usman,176.35
Khamzat Chimaev,2470.77,Robert Whittaker,243.35
Amanda Nunes,1182.25,Sheila Gaff,182.25
Amanda Nunes,1395.0,Germaine de Randamie,212.75
Amanda Nunes,1221.17,Cat Zingano,-173.83
Amanda Nunes,1390.91,Shayna Baszler,169.74
Amanda Nunes,1555.2,Sara McMann,164.29
Amanda Nunes,1616.47,Valentina Shevchenko,61.27
Amanda Nunes,1811.48,Miesha Tate,195.01
Amanda Nunes,2031.53,Ronda Rousey,220.05
Amanda Nunes,2065.98,Valentina Shevchenko,34.45
Amanda Nunes,2101.34,Raquel Pennington,35.36
Amanda Nunes,2261.58,Cristiane Justino,160.24
Amanda Nunes,2412.15,Holly Holm,150.57
Amanda Nunes,2444.8,Germaine de Randamie,32.65
Amanda Nunes,2475.0,Felicia Spencer,30.2
Amanda Nunes,2625.1,Megan Anderson,150.1
Amanda Nunes,2400.26,Julianna Pena,-224.84
Amanda Nunes,2432.38,Julianna Pena,32.12
Amanda Nunes,2463.49,Irene Aldana,31.11
Tom Aspinall,1225.0,Alan Baudot,225.0
Tom Aspinall,1395.26,Andrei Arlovski,170.26
Tom Aspinall,1603.57,Serghei Spivac,208.31
Tom Aspinall,1880.05,Alexander Volkov,276.48
Tom Aspinall,1686.37,Curtis Blaydes,-193.68
Tom Aspinall,1938.77,Marcin Tybura,252.4
Tom Aspinall,2225.15,Sergei Pavlovich,286.38
Tom Aspinall,2428.62,Curtis Blaydes,203.47
Leon Edwards,904.89,Claudio Silva,-95.11
Leon Edwards,1133.79,Seth Baczynski,228.9
Leon Edwards,1223.23,Pawel Pawlak,89.44
Leon Edwards,1282.31,Dominic Waters,59.08
Leon Edwards,1454.05,Albert Tumenov,171.74
Leon Edwards,1612.18,Vicente Luque,158.13
Leon Edwards,1710.5,Bryan Barberena,98.32
Leon Edwards,1773.37,Peter Sobotta,62.87
Leon Edwards,1918.11,Donald Cerrone,144.74
Leon Edwards,2018.67,Gunnar Nelson,100.56
Leon Edwards,2146.78,Rafael Dos Anjos,128.11
Leon Edwards,2214.97,Nate Diaz,68.19
Leon Edwards,2382.51,Kamaru Usman,167.54
Leon Edwards,2504.91,Kamaru Usman,122.4
Leon Edwards,2553.94,Colby Covington,49.03
Leon Edwards,2411.15,Belal Muhammad,-142.79
Charles Oliveira,1271.99,Darren Elkins,271.99
Charles Oliveira,1405.79,Efrain Escudero,133.8
Charles Oliveira,1241.68,Jim Miller,-164.11
Charles Oliveira,1024.63,Donald Cerrone,-217.05
Charles Oliveira,1244.32,Eric Wisely,219.69
Charles Oliveira,1398.21,Jonathan Brookins,153.89
Charles Oliveira,1132.6,Cub Swanson,-265.61
Charles Oliveira,1074.84,Frankie Edgar,-57.76
Charles Oliveira,1159.52,Andy Ogle,84.68
Charles Oliveira,1298.01,Hatsu Hioki,138.49
Charles Oliveira,1455.81,Jeremy Stephens,157.8
Charles Oliveira,1593.22,Nik Lentz,137.41
Charles Oliveira,1404.75,Max Holloway,-188.47
Charles Oliveira,1690.31,Myles Jury,285.56
Charles Oliveira,1550.09,Anthony Pettis,-140.22
Charles Oliveira,1406.19,Ricardo Lamas,-143.9
Charles Oliveira,1576.37,Will Brooks,170.18
Charles Oliveira,1426.91,Paul Felder,-149.46
Charles Oliveira,1665.86,Clay Guida,238.95
Charles Oliveira,1593.42,Christos Giagos,-72.44
Charles Oliveira,1786.22,Jim Miller,192.8
Charles Oliveira,1900.82,David Teymur,114.6
Charles Oliveira,1994.73,Nik Lentz,93.91
Charles Oliveira,1920.32,Jared Gordon,-74.41
Charles Oliveira,2062.84,Kevin Lee,142.52
Charles Oliveira,2118.09,Tony Ferguson,55.25
Charles Oliveira,2194.43,Michael Chandler,76.34
Charles Oliveira,2381.14,Dustin Poirier,186.71
Charles Oliveira,2557.24,Justin Gaethje,176.1
Charles Oliveira,2365.71,Islam Makhachev,-191.53
Charles Oliveira,2589.38,Beneil Dariush,223.67
Charles Oliveira,2396.26,Arman Tsarukyan,-193.12
Daniel Cormier,1198.24,Frank Mir,198.24
Daniel Cormier,1388.3,Roy Nelson,190.06
Daniel Cormier,1552.79,Patrick Cummins,164.49
Daniel Cormier,1682.4,Dan Henderson,129.61
Daniel Cormier,1651.56,Jon Jones,-30.84
Daniel Cormier,1846.27,Anthony Johnson,194.71
Daniel Cormier,1940.44,Alexander Gustafsson,94.17
Daniel Cormier,2160.6,Anthony Johnson,220.16
Daniel Cormier,2249.15,Volkan Oezdemir,88.55
Daniel Cormier,2540.15,Stipe Miocic,291.0
Daniel Cormier,2622.81,Derrick Lewis,82.66
Daniel Cormier,2473.51,Stipe Miocic,-149.3
Daniel Cormier,2391.89,Stipe Miocic,-81.62
Gegard Mousasi,1125.0,Ilir Latifi,125.0
Gegard Mousasi,1094.21,Lyoto Machida,-30.79
Gegard Mousasi,1385.84,Mark Munoz,291.63
Gegard Mousasi,1316.32,Jacare Souza,-69.52
Gegard Mousasi,1567.81,Dan Henderson,251.49
Gegard Mousasi,1646.37,Constantinos Philippou,78.56
Gegard Mousasi,1452.26,Uriah Hall,-194.11
Gegard Mousasi,1637.59,Thales Leites,185.33
Gegard Mousasi,1874.15,Thiago Santos,236.56
Gegard Mousasi,2065.54,Vitor Belfort,191.39
Gegard Mousasi,2217.42,Uriah Hall,151.88
Gegard Mousasi,2378.83,Chris Weidman,161.41
Ilia Topuria,1178.41,Youssef Zalal,178.41
Ilia Topuria,1376.85,Damon Jackson,198.44
Ilia Topuria,1646.89,Ryan Hall,270.04
Ilia Topuria,1727.3,Jai Herbert,80.41
Ilia Topuria,1873.68,Bryce Mitchell,146.38
Ilia Topuria,1982.08,Josh Emmett,108.4
Ilia Topuria,2181.59,Alexander Volkanovski,199.51
Ilia Topuria,2342.96,Max Holloway,161.37
Alex Pereira,1131.08,Andreas Michailidis,131.08
Alex Pereira,1321.78,Bruno Silva,190.7
Alex Pereira,1616.7,Sean Strickland,294.92
Alex Pereira,1795.68,Israel Adesanya,178.98
Alex Pereira,1713.0,Israel Adesanya,-82.68
Alex Pereira,1906.39,Jan Blachowicz,193.39
Alex Pereira,2006.18,Jiri Prochazka,99.79
Alex Pereira,2212.89,Jamahal Hill,206.71
Alex Pereira,2296.32,Jiri Prochazka,83.43
Alex Pereira,2337.85,Khalil Rountree Jr.,41.53
Magomed Ankalaev,822.6,Paul Craig,-177.4
Magomed Ankalaev,1051.09,Marcin Prachnio,228.49
Magomed Ankalaev,1165.14,Klidson Abreu,114.05
Magomed Ankalaev,1281.51,Dalcha Lungiambula,116.37
Magomed Ankalaev,1554.81,Ion Cutelaba,273.3
Magomed Ankalaev,1729.66,Ion Cutelaba,174.85
Magomed Ankalaev,1824.48,Nikita Krylov,94.82
Magomed Ankalaev,1901.2,Volkan Oezdemir,76.72
Magomed Ankalaev,1968.28,Thiago Santos,67.08
Magomed Ankalaev,2157.2,Anthony Smith,188.92
Magomed Ankalaev,2181.01,Jan Blachowicz,23.81
Magomed Ankalaev,2277.27,Johnny Walker,96.26
Magomed Ankalaev,2330.05,Aleksandar Rakic,52.78
Anthony Johnson,1210.72,Chad Reiner,210.72
Anthony Johnson,999.58,Rich Clementi,-211.14
Anthony Johnson,1181.89,Tommy Speer,182.31
Anthony Johnson,1058.52,Kevin Burns,-123.37
Anthony Johnson,1230.33,Kevin Burns,171.81
Anthony Johnson,1450.48,Luigi Fioravanti,220.15
Anthony Johnson,1639.36,Yoshiyuki Yoshida,188.88
Anthony Johnson,1511.35,Josh Koscheck,-128.01
Anthony Johnson,1623.19,Dan Hardy,111.84
Anthony Johnson,1796.47,Charlie Brenneman,173.28
Anthony Johnson,1609.97,Vitor Belfort,-186.5
Anthony Johnson,1785.97,Phil Davis,176.0
Anthony Johnson,1994.29,Rogerio Nogueira,208.32
Anthony Johnson,2226.54,Alexander Gustafsson,232.25
Anthony Johnson,2031.83,Daniel Cormier,-194.71
Anthony Johnson,2111.49,Jimi Manuwa,79.66
Anthony Johnson,2330.94,Ryan Bader,219.45
Anthony Johnson,2531.38,Glover Teixeira,200.44
Anthony Johnson,2311.22,Daniel Cormier,-220.16
Don Frye,1225.0,Thomas Ramirez,225.0
Don Frye,1450.0,Sam Adkins,225.0
Don Frye,1675.0,Gary Goodridge,225.0
Don Frye,1828.02,Amaury Bitetti,153.02
Don Frye,1987.83,Mark Hall,159.81
Don Frye,2139.67,Brian Johnston,151.84
Don Frye,1842.34,Mark Coleman,-297.33
Don Frye,1993.34,Gary Goodridge,151.0
Don Frye,2147.24,Mark Hall,153.9
Don Frye,2306.48,David Abbott,159.24
Dustin Poirier,1125.0,Josh Grispi,125.0
Dustin Poirier,1224.12,Jason Young,99.12
Dustin Poirier,1410.36,Pablo Garza,186.24
Dustin Poirier,1573.27,Max Holloway,162.91
Dustin Poirier,1427.39,Chan Sung Jung,-145.88
Dustin Poirier,1598.02,Jonathan Brookins,170.63
Dustin Poirier,1443.45,Cub Swanson,-154.57
Dustin Poirier,1519.47,Erik Koch,76.02
Dustin Poirier,1734.7,Diego Brandao,215.23
Dustin Poirier,1835.55,Akira Corassani,100.85
Dustin Poirier,1562.04,Conor McGregor,-273.51
Dustin Poirier,1727.98,Diego Ferreira,165.94
Dustin Poirier,1880.63,Yancy Medeiros,152.65
Dustin Poirier,1938.38,Joe Duffy,57.75
Dustin Poirier,2096.87,King Green,158.49
Dustin Poirier,1801.58,Michael Johnson,-295.29
Dustin Poirier,1945.0,Jim Miller,143.42
Dustin Poirier,2045.36,Anthony Pettis,100.36
Dustin Poirier,2083.72,Justin Gaethje,38.36
Dustin Poirier,2167.23,Eddie Alvarez,83.51
Dustin Poirier,2311.17,Max Holloway,143.94
Dustin Poirier,2186.72,Khabib Nurmagomedov,-124.45
Dustin Poirier,2265.66,Dan Hooker,78.94
Dustin Poirier,2424.06,Conor McGregor,158.4
Dustin Poirier,2599.29,Conor McGregor,175.23
Dustin Poirier,2412.58,Charles Oliveira,-186.71
Dustin Poirier,2463.01,Michael Chandler,50.43
Dustin Poirier,2249.75,Justin Gaethje,-213.26
Dustin Poirier,2337.32,Benoit Saint Denis,87.57
Dustin Poirier,2298.07,Islam Makhachev,-39.25
Dricus Du Plessis,1214.19,Markus Perez,214.19
Dricus Du Plessis,1406.13,Trevin Giles,191.94
Dricus Du Plessis,1570.61,Brad Tavares,164.48
Dricus Du Plessis,1711.95,Darren Till,141.34
Dricus Du Plessis,1897.27,Derek Brunson,185.32
Dricus Du Plessis,2109.36,Robert Whittaker,212.09
Dricus Du Plessis,2174.7,Sean Strickland,65.34
Dricus Du Plessis,2294.55,Israel Adesanya,119.85
Arman Tsarukyan,947.84,Islam Makhachev,-52.16
Arman Tsarukyan,1133.96,Olivier Aubin-Mercier,186.12
Arman Tsarukyan,1302.76,Davi Ramos,168.8
Arman Tsarukyan,1406.06,Matt Frevola,103.3
Arman Tsarukyan,1613.87,Christos Giagos,207.81
Arman Tsarukyan,1786.8,Joel Alvarez,172.93
Arman Tsarukyan,1636.36,Mateusz Gamrot,-150.44
Arman Tsarukyan,1726.72,Damir Ismagulov,90.36
Arman Tsarukyan,1779.13,Joaquim Silva,52.41
Arman Tsarukyan,2062.08,Beneil Dariush,282.95
Arman Tsarukyan,2255.2,Charles Oliveira,193.12
Deiveson Figueiredo,1172.34,Marco Beltran,172.34
Deiveson Figueiredo,1281.76,Jarred Brooks,109.42
Deiveson Figueiredo,1419.62,Joseph Morales,137.86
Deiveson Figueiredo,1591.08,John Moraga,171.46
Deiveson Figueiredo,1485.01,Jussier Formiga,-106.07
Deiveson Figueiredo,1648.71,Alexandre Pantoja,163.7
Deiveson Figueiredo,1799.83,Tim Elliott,151.12
Deiveson Figueiredo,1997.02,Joseph Benavidez,197.19
Deiveson Figueiredo,2193.84,Joseph Benavidez,196.82
Deiveson Figueiredo,2353.86,Alex Perez,160.02
Deiveson Figueiredo,2283.16,Brandon Moreno,-70.7
Deiveson Figueiredo,2092.53,Brandon Moreno,-190.63
Deiveson Figueiredo,2178.68,Brandon Moreno,86.15
Deiveson Figueiredo,2017.24,Brandon Moreno,-161.44
Deiveson Figueiredo,2100.84,Rob Font,83.6
Deiveson Figueiredo,2179.97,Cody Garbrandt,79.13
Deiveson Figueiredo,2250.68,Marlon Vera,70.71
Aljamain Sterling,1125.0,Cody Gibson,125.0
Aljamain Sterling,1244.48,Hugo Viana,119.48
Aljamain Sterling,1378.95,Takeya Mizugaki,134.47
Aljamain Sterling,1253.46,Bryan Caraway,-125.49
Aljamain Sterling,1181.63,Raphael Assuncao,-71.83
Aljamain Sterling,1270.92,Augusto Mendes,89.29
Aljamain Sterling,1450.13,Renan Barao,179.21
Aljamain Sterling,1172.18,Marlon Moraes,-277.95
Aljamain Sterling,1313.42,Brett Johns,141.24
Aljamain Sterling,1464.76,Cody Stamann,151.34
Aljamain Sterling,1620.07,Jimmie Rivera,155.31
Aljamain Sterling,1804.46,Pedro Munhoz,184.39
Aljamain Sterling,2028.65,Cory Sandhagen,224.19
Aljamain Sterling,2115.95,Petr Yan,87.3
Aljamain Sterling,2186.29,Petr Yan,70.34
Aljamain Sterling,2316.58,TJ Dillashaw,130.29
Aljamain Sterling,2407.82,Henry Cejudo,91.24
Aljamain Sterling,2188.71,Sean O'Malley,-219.11
Aljamain Sterling,2245.07,Calvin Kattar,56.36
Merab Dvalishvili,863.03,Frankie Saenz,-136.97
Merab Dvalishvili,766.16,Ricky Simon,-96.87
Merab Dvalishvili,879.44,Terrion Ware,113.28
Merab Dvalishvili,1064.42,Brad Katona,184.98
Merab Dvalishvili,1241.78,Casey Kenney,177.36
Merab Dvalishvili,1321.65,Gustavo Lopez,79.87
Merab Dvalishvili,1487.12,John Dodson,165.47
Merab Dvalishvili,1603.77,Cody Stamann,116.65
Merab Dvalishvili,1731.55,Marlon Moraes,127.78
Merab Dvalishvili,1904.44,Jose Aldo,172.89
Merab Dvalishvili,1971.54,Petr Yan,67.1
Merab Dvalishvili,2133.79,Henry Cejudo,162.25
Merab Dvalishvili,2242.14,Sean O'Malley,108.35
Alexander Volkov,1164.61,Timothy Johnson,164.61
Alexander Volkov,1334.83,Roy Nelson,170.22
Alexander Volkov,1501.56,Stefan Struve,166.73
Alexander Volkov,1683.1,Fabricio Werdum,181.54
Alexander Volkov,1607.39,Derrick Lewis,-75.71
Alexander Volkov,1671.25,Greg Hardy,63.86
Alexander Volkov,1606.94,Curtis Blaydes,-64.31
Alexander Volkov,1717.43,Walt Harris,110.49
Alexander Volkov,1924.78,Alistair Overeem,207.35
Alexander Volkov,1779.99,Ciryl Gane,-144.79
Alexander Volkov,1895.83,Marcin Tybura,115.84
Alexander Volkov,1619.35,Tom Aspinall,-276.48
Alexander Volkov,1860.36,Jairzinho Rozenstruik,241.01
Alexander Volkov,2029.7,Alexandr Romanov,169.34
Alexander Volkov,2118.74,Tai Tuivasa,89.04
Alexander Volkov,2229.64,Sergei Pavlovich,110.9
Max Holloway,837.09,Dustin Poirier,-162.91
Max Holloway,948.83,Pat Schilling,111.74
Max Holloway,1133.9,Justin Lawrence,185.07
Max Holloway,1188.73,Leonard Garcia,54.83
Max Holloway,1068.41,Dennis Bermudez,-120.32
Max Holloway,984.39,Conor McGregor,-84.02
Max Holloway,1137.76,Will Chope,153.37
Max Holloway,1253.26,Andre Fili,115.5
Max Holloway,1331.58,Clay Collard,78.32
Max Holloway,1562.97,Akira Corassani,231.39
Max Holloway,1640.52,Cole Miller,77.55
Max Holloway,1778.1,Cub Swanson,137.58
Max Holloway,1966.57,Charles Oliveira,188.47
Max Holloway,2024.02,Jeremy Stephens,57.45
Max Holloway,2089.11,Ricardo Lamas,65.09
Max Holloway,2158.63,Anthony Pettis,69.52
Max Holloway,2238.4,Jose Aldo,79.77
Max Holloway,2301.89,Jose Aldo,63.49
Max Holloway,2367.12,Brian Ortega,65.23
Max Holloway,2223.18,Dustin Poirier,-143.94
Max Holloway,2279.41,Frankie Edgar,56.23
Max Holloway,2125.94,Alexander Volkanovski,-153.47
Max Holloway,2029.5,Alexander Volkanovski,-96.44
Max Holloway,2084.2,Calvin Kattar,54.7
Max Holloway,2136.84,Yair Rodriguez,52.64
Max Holloway,2078.6,Alexander Volkanovski,-58.24
Max Holloway,2183.95,Arnold Allen,105.35
Max Holloway,2264.02,Chan Sung Jung,80.07
Max Holloway,2365.54,Justin Gaethje,101.52
Max Holloway,2204.17,Ilia Topuria,-161.37
Shavkat Rakhmonov,1287.34,Alex Oliveira,287.34
Shavkat Rakhmonov,1503.51,Michel Prazeres,216.17
Shavkat Rakhmonov,1714.57,Carlston Harris,211.06
Shavkat Rakhmonov,1921.71,Neil Magny,207.14
Shavkat Rakhmonov,2064.48,Geoff Neal,142.77
Shavkat Rakhmonov,2173.58,Stephen Thompson,109.1
Kamaru Usman,1150.0,Hayder Hassan,150.0
Kamaru Usman,1308.84,Alexander Yakovlev,158.84
Kamaru Usman,1468.8,Warlley Alves,159.96
Kamaru Usman,1618.95,Sean Strickland,150.15
Kamaru Usman,1828.36,Sergio Moraes,209.41
Kamaru Usman,1882.05,Emil Meek,53.69
Kamaru Usman,2034.0,Demian Maia,151.95
Kamaru Usman,2171.92,Rafael Dos Anjos,137.92
Kamaru Usman,2294.29,Tyron Woodley,122.37
Kamaru Usman,2358.06,Colby Covington,63.77
Kamaru Usman,2424.13,Jorge Masvidal,66.07
Kamaru Usman,2505.12,Gilbert Burns,80.99
Kamaru Usman,2592.86,Jorge Masvidal,87.74
Kamaru Usman,2632.13,Colby Covington,39.27
Kamaru Usman,2464.59,Leon Edwards,-167.54
Kamaru Usman,2342.19,Leon Edwards,-122.4
Kamaru Usman,2165.84,Khamzat Chimaev,-176.35
Justin Gaethje,1222.33,Michael Johnson,222.33
Justin Gaethje,1149.73,Eddie Alvarez,-72.6
Justin Gaethje,1111.37,Dustin Poirier,-38.36
Justin Gaethje,1410.5,James Vick,299.13
Justin Gaethje,1701.29,Edson Barboza,290.79
Justin Gaethje,1984.61,Donald Cerrone,283.32
Justin Gaethje,2159.49,Tony Ferguson,174.88
Justin Gaethje,2059.38,Khabib Nurmagomedov,-100.11
Justin Gaethje,2110.59,Michael Chandler,51.21
Justin Gaethje,1934.49,Charles Oliveira,-176.1
Justin Gaethje,2034.65,Rafael Fiziev,100.16
Justin Gaethje,2247.91,Dustin Poirier,213.26
Justin Gaethje,2146.39,Max Holloway,-101.52
Cain Velasquez,1225.0,Brad Morris,225.0
Cain Velasquez,1454.12,Jake O'Brien,229.12
Cain Velasquez,1539.36,Denis Stojnic,85.24
Cain Velasquez,1685.05,Cheick Kongo,145.69
Cain Velasquez,1762.9,Ben Rothwell,77.85
Cain Velasquez,1930.8,Antonio Rodrigo Nogueira,167.9
Cain Velasquez,2107.28,Brock Lesnar,176.48
Cain Velasquez,1866.81,Junior Dos Santos,-240.47
Cain Velasquez,2017.82,Antonio Silva,151.01
Cain Velasquez,2179.69,Junior Dos Santos,161.87
Cain Velasquez,2330.65,Antonio Silva,150.96
Cain Velasquez,2419.39,Junior Dos Santos,88.74
Cain Velasquez,2230.45,Fabricio Werdum,-188.94
Cain Velasquez,2403.67,Travis Browne,173.22
Cain Velasquez,2122.95,Francis Ngannou,-280.72
Colby Covington,1267.75,Anying Wang,267.75
Colby Covington,1330.17,Wagner Silva,62.42
Colby Covington,1449.96,Mike Pyle,119.79
Colby Covington,1224.27,Warlley Alves,-225.69
Colby Covington,1306.62,Jonathan Meunier,82.35
Colby Covington,1378.54,Max Griffin,71.92
Colby Covington,1515.57,Bryan Barberena,137.03
Colby Covington,1664.93,Dong Hyun Kim,149.36
Colby Covington,1861.81,Demian Maia,196.88
Colby Covington,2034.17,Rafael Dos Anjos,172.36
Colby Covington,2079.56,Robbie Lawler,45.39
Colby Covington,2015.79,Kamaru Usman,-63.77
Colby Covington,2120.39,Tyron Woodley,104.6
Colby Covington,2081.12,Kamaru Usman,-39.27
Colby Covington,2169.83,Jorge Masvidal,88.71
Colby Covington,2120.8,Leon Edwards,-49.03
Demetrious Johnson,1125.0,Norifumi Yamamoto,125.0
Demetrious Johnson,1250.0,Miguel Torres,125.0
Demetrious Johnson,1120.25,Dominick Cruz,-129.75
